ROW_NUM,YM,CTRD_NM,CTRD_CODE,LVSTCKSPC_NM,LVSTCKSPC_CODE,THSMON,THSMON_ACMTL
12847,202604,경기,6410000,메추리,LBI1000021,28047,74420
12849,202604,경기,6410000,소,LBI1000080,18967,78843
12862,202604,충남,6440000,말,LBI1000007,12,52
12861,202604,충남,6440000,돼지,LBI1000006,298308,1182135
12860,202604,충북,6430000,염소,LBI1000623,3194,8102
12859,202604,충북,6430000,닭,LBI1000088,5999338,24997282
12858,202604,충북,6430000,소,LBI1000080,16299,63366
12857,202604,충북,6430000,사슴,LBI1000017,6,7
12856,202604,충북,6430000,오리,LBI1000016,729085,1934696
12855,202604,충북,6430000,돼지,LBI1000006,219695,838418
12854,202604,강원,6420000,염소,LBI1000623,791,2093
12853,202604,강원,6420000,닭,LBI1000088,1385467,5554193
12852,202604,강원,6420000,소,LBI1000080,1922,9579
12851,202604,강원,6420000,돼지,LBI1000006,40824,157158
12850,202604,경기,6410000,닭,LBI1000088,11748051,44085455
12848,202604,경기,6410000,당나귀,LBI1000023,2,6
12864,202604,충남,6440000,닭,LBI1000088,12937630,48585434
12846,202604,경기,6410000,말,LBI1000007,4,72
12845,202604,경기,6410000,돼지,LBI1000006,223097,882716
12844,202604,울산,6310000,염소,LBI1000623,137,306
12843,202604,울산,6310000,소,LBI1000080,560,2441
12842,202604,울산,6310000,돼지,LBI1000006,8573,32509
12841,202604,대전,6300000,소,LBI1000080,430,1932
12840,202604,대전,6300000,돼지,LBI1000006,16789,65466
12839,202604,광주,6290000,소,LBI1000080,1381,5609
12838,202604,광주,6290000,돼지,LBI1000006,49271,166741
12837,202604,인천,6280000,닭,LBI1000088,875033,3253095
12836,202604,인천,6280000,소,LBI1000080,1589,6352
12835,202604,인천,6280000,돼지,LBI1000006,29047,119837
12834,202604,대구,6270000,닭,LBI1000088,600524,4004302
12863,202604,충남,6440000,소,LBI1000080,9116,38592
12865,202604,충남,6440000,염소,LBI1000623,1766,4748
12833,202604,대구,6270000,소,LBI1000080,1259,5328
12881,202604,경북,6470000,소,LBI1000080,8677,38684
12894,202604,제주,6500000,염소,LBI1000623,64,209
12893,202604,제주,6500000,닭,LBI1000088,537324,2017082
12892,202604,제주,6500000,면양,LBI1000086,5,15
12891,202604,제주,6500000,소,LBI1000080,475,1817
12890,202604,제주,6500000,말,LBI1000007,80,271
12889,202604,제주,6500000,돼지,LBI1000006,81280,310771
12888,202604,경남,6480000,염소,LBI1000623,1051,2987
12887,202604,경남,6480000,닭,LBI1000088,397540,1128607
12886,202604,경남,6480000,소,LBI1000080,13703,56408
12885,202604,경남,6480000,오리,LBI1000016,113660,398425
12884,202604,경남,6480000,돼지,LBI1000006,191302,720726
12883,202604,경북,6470000,염소,LBI1000623,993,2405
12882,202604,경북,6470000,닭,LBI1000088,6894466,24895920
12880,202604,경북,6470000,꿩,LBI1000022,280,430
12866,202604,전북,6450000,돼지,LBI1000006,207446,793997
12879,202604,경북,6470000,말,LBI1000007,1,6
12878,202604,경북,6470000,돼지,LBI1000006,125184,494853
12877,202604,전남,6460000,염소,LBI1000623,3886,9561
12876,202604,전남,6460000,닭,LBI1000088,4050499,14483491
12875,202604,전남,6460000,소,LBI1000080,7721,33063
12874,202604,전남,6460000,오리,LBI1000016,3349577,9292041
