ROW_NUM,YM,CTRD_NM,CTRD_CODE,SLAU_PLACE_NM,LVSTCKSPC_NM,LVSTCKSPC_CODE,THSMON,THSMON_ACMTL
40726,202604,제주,6500000,농업회사법인(주)한라씨에프엔,닭,LBI1000088,274013,1061031
40705,202604,경북,6470000,농업회사법인 문경통도리 토종닭 주식회사,꿩,LBI1000022,280,430
45929,202604,충북,6430000,동아식품,돼지,LBI1000006,9981,39218
45930,202604,충북,6430000,농업회사법인(주)주원산오리,오리,LBI1000016,513112,1371434
45931,202604,충북,6430000,예성실업,염소,LBI1000623,954,2296
45932,202604,충북,6430000,충청산업,염소,LBI1000623,1606,4010
45933,202604,충북,6430000,농협경제지주주식회사 음성축산물공판장,돼지,LBI1000006,9454,36755
45934,202604,충북,6430000,농협경제지주주식회사 음성축산물공판장,소,LBI1000080,14393,55120
40701,202604,경북,6470000,(주)올품,닭,LBI1000088,6894466,24895120
40702,202604,경북,6470000,(주)소백산한우,돼지,LBI1000006,11269,45581
40703,202604,경북,6470000,(주)소백산한우,소,LBI1000080,466,2297
40704,202604,경북,6470000,농업회사법인 김천염소산업(주),염소,LBI1000623,812,1933
40706,202604,경북,6470000,안동봉화축협 안동축산물공판장,돼지,LBI1000006,25407,102410
45926,202604,충북,6430000,주식회사 모란식품,오리,LBI1000016,215973,563262
40707,202604,경북,6470000,안동봉화축협 안동축산물공판장,소,LBI1000080,1710,7490
40708,202604,경북,6470000,안동봉화축협 안동축산물공판장,염소,LBI1000623,120,288
40709,202604,경남,6480000,(주)한려식품,닭,LBI1000088,397540,1128607
40710,202604,경남,6480000,부경제일축산물유통센터(주),돼지,LBI1000006,31599,120347
40711,202604,경남,6480000,부경제일축산물유통센터(주),소,LBI1000080,95,474
40712,202604,경남,6480000,주식회사해드림엘피씨,돼지,LBI1000006,55730,210373
40713,202604,경남,6480000,주식회사 정다운 하동공장,오리,LBI1000016,113660,398425
40714,202604,경남,6480000,부경양돈협동조합 부경축산물공판장,돼지,LBI1000006,76175,286438
40715,202604,경남,6480000,부경양돈협동조합 부경축산물공판장,소,LBI1000080,10905,44245
40716,202604,경남,6480000,농업회사법인 서라벌 주식회사,돼지,LBI1000006,26546,101417
45928,202604,충북,6430000,(주)팜스코,돼지,LBI1000006,26095,107550
45925,202604,충북,6430000,(주)체리부로,닭,LBI1000088,3890597,16776752
40718,202604,경남,6480000,농업회사법인 이스트스프링 주식회사,염소,LBI1000623,1051,2987
45912,202604,강원,6420000,우리손에프앤지 농업회사법인 (주) 강원엘피씨,돼지,LBI1000006,36727,139352
45902,202604,경기,6410000,포천농축산(주),소,LBI1000080,479,2184
45903,202604,경기,6410000,(주)마니커 동두천지점,닭,LBI1000088,3515070,13790439
45904,202604,경기,6410000,농업회사법인정우식품(주),닭,LBI1000088,1319964,4357964
45905,202604,경기,6410000,농업회사법인주식회사 경기엘피씨,돼지,LBI1000006,36313,136180
45906,202604,경기,6410000,농업회사법인주식회사 경기엘피씨,소,LBI1000080,368,1562
45907,202604,강원,6420000,주식회사 횡성케이씨,소,LBI1000080,830,4468
45908,202604,강원,6420000,(주)현진,닭,LBI1000088,177962,726634
45909,202604,강원,6420000,주식회사 한다운에프에스엘,소,LBI1000080,246,1031
45910,202604,강원,6420000,철원한양영농조합축산물종합처리장,돼지,LBI1000006,4097,15641
45911,202604,강원,6420000,(주)해마로,닭,LBI1000088,1207505,4827559
45913,202604,강원,6420000,우리손에프앤지 농업회사법인 (주) 강원엘피씨,소,LBI1000080,551,2702
45924,202604,충북,6430000,대성실업(주),돼지,LBI1000006,32121,120396
45914,202604,강원,6420000,행구축산,염소,LBI1000623,450,1031
45915,202604,강원,6420000,춘천흑염소도축장,염소,LBI1000623,341,1062
45916,202604,강원,6420000,평창육가공 영농조합법인,소,LBI1000080,295,1378
45917,202604,충북,6430000,한우영농조합법인맥우,돼지,LBI1000006,16096,59646
45918,202604,충북,6430000,한우영농조합법인맥우,소,LBI1000080,192,930
45919,202604,충북,6430000,(주) 팜스토리 한냉,돼지,LBI1000006,52452,206388
45920,202604,충북,6430000,(주) 팜스토리 한냉,소,LBI1000080,1494,6079
45921,202604,충북,6430000,주식회사 금보식품 제천지점,닭,LBI1000088,1061120,3929195
45922,202604,충북,6430000,(주)박달재엘피씨(LPC),돼지,LBI1000006,29129,96864
45923,202604,충북,6430000,(주)박달재엘피씨(LPC),소,LBI1000080,220,1237
40717,202604,경남,6480000,농업회사법인 이스트스프링 주식회사,돼지,LBI1000006,1252,2151
40719,202604,경남,6480000,창녕축산물공판장,소,LBI1000080,2703,11689
45900,202604,경기,6410000,포천농축산(주),돼지,LBI1000006,16457,69780
45970,202604,전북,6450000,산수들주식회사,돼지,LBI1000006,4630,16572
45960,202604,충남,6440000,(주)티와이,닭,LBI1000088,2069513,7302168
45961,202604,충남,6440000,모아모아토종닭,닭,LBI1000088,250,720
45962,202604,전북,6450000,(주)삼정푸드,돼지,LBI1000006,31087,130488
45963,202604,전북,6450000,(주)부광산업,타조,LBI1000024,9,15
45964,202604,전북,6450000,(주)부광산업,소,LBI1000080,619,2836
45965,202604,전북,6450000,농업회사법인(주)사조원,닭,LBI1000088,4450960,17344886
45966,202604,전북,6450000,유한회사 엔에프군산엘피씨,돼지,LBI1000006,9033,49953
45967,202604,전북,6450000,유한회사 엔에프군산엘피씨,소,LBI1000080,119,518
45968,202604,전북,6450000,(주)농협목우촌 김제육가공공장,돼지,LBI1000006,40640,148204
45969,202604,전북,6450000,(주)하림,닭,LBI1000088,11022263,41725476
45971,202604,전북,6450000,산수들주식회사,소,LBI1000080,180,769
45958,202604,충남,6440000,대전충남양돈농협 포크빌축산물공판장,돼지,LBI1000006,56212,232679
45972,202604,전북,6450000,산수들주식회사,염소,LBI1000623,378,861
45973,202604,전북,6450000, 유한회사 금돈,돼지,LBI1000006,26904,97301
45974,202604,전북,6450000,(주)삼호유황오리,오리,LBI1000016,181125,610379
45975,202604,전북,6450000,(주)동우팜투테이블,닭,LBI1000088,6164845,23101074
45976,202604,전북,6450000,(주)코리아더커드,닭,LBI1000088,2222203,7997419
40720,202604,제주,6500000,건강한닭영농조합법인,닭,LBI1000088,263311,956051
40721,202604,제주,6500000,제주축협축산물공판장,돼지,LBI1000006,39738,147891
40722,202604,제주,6500000,제주축협축산물공판장,말,LBI1000007,80,271
40723,202604,제주,6500000,제주축협축산물공판장,소,LBI1000080,475,1817
40727,202604,제주,6500000,제주양돈축산업협동조합 축산물종합유통센터,돼지,LBI1000006,41542,162880
45959,202604,충남,6440000,대전충남양돈농협 포크빌축산물공판장,소,LBI1000080,5974,24591
45957,202604,충남,6440000,주식회사 한국육계유통,닭,LBI1000088,864241,3559559
45548,202604,대구,6270000,주식회사민속엘피씨,돼지,LBI1000006,24244,102959
45944,202604,충남,6440000,중앙산업,소,LBI1000080,136,693
45549,202604,대구,6270000,주식회사민속엘피씨,소,LBI1000080,1259,5328
45935,202604,충북,6430000,제천염소도축장,사슴,LBI1000017,6,7
45936,202604,충북,6430000,제천염소도축장,염소,LBI1000623,634,1796
45937,202604,충북,6430000,(주)충남에프앤비 충주공장,돼지,LBI1000006,23937,91986
45938,202604,충북,6430000,(주)대산푸드지점,돼지,LBI1000006,20430,79615
45939,202604,충남,6440000,(주)홍주미트,돼지,LBI1000006,50957,225680
45940,202604,충남,6440000,(주)홍주미트,소,LBI1000080,2456,10795
45941,202604,충남,6440000,산성식품,염소,LBI1000623,1766,4748
45942,202604,충남,6440000,중앙산업,돼지,LBI1000006,28164,116683
45943,202604,충남,6440000,중앙산업,말,LBI1000007,12,52
45945,202604,충남,6440000,백제나루 영농조합법인,돼지,LBI1000006,35319,133917
45956,202604,충남,6440000,(주)광축,소,LBI1000080,173,750
45946,202604,충남,6440000,백제나루 영농조합법인,소,LBI1000080,377,1415
45947,202604,충남,6440000,화정식품,돼지,LBI1000006,15491,58976
45948,202604,충남,6440000,사조산업(주) ,돼지,LBI1000006,38732,136496
45949,202604,충남,6440000,(주) 신우 에프에스,닭,LBI1000088,3178252,12181388
45950,202604,충남,6440000,논산계룡축협축산물유통센터,돼지,LBI1000006,58827,219039
45951,202604,충남,6440000,(주)들녘,닭,LBI1000088,634748,2500683
45952,202604,충남,6440000,금화식품(주) 보령공장,닭,LBI1000088,1295110,4973766
45953,202604,충남,6440000,(주)마니커 천안지점,닭,LBI1000088,3254019,12244630
45954,202604,충남,6440000,(주)대오,닭,LBI1000088,1641497,5822520
45955,202604,충남,6440000,(주)광축,돼지,LBI1000006,14606,58665
45901,202604,경기,6410000,포천농축산(주),당나귀,LBI1000023,2,6
45927,202604,충북,6430000,(주)농협목우촌,닭,LBI1000088,1047621,4291335
45899,202604,경기,6410000,주식회사 도드람엘피씨,소,LBI1000080,6297,25612
40651,202604,전북,6450000,(주)참프레,닭,LBI1000088,6528366,24497863
45898,202604,경기,6410000,주식회사 도드람엘피씨,돼지,LBI1000006,56246,213442
40659,202604,전북,6450000,주식회사 중앙축산 농업회사법인,소,LBI1000080,287,1466
40658,202604,전북,6450000,주식회사 중앙축산 농업회사법인,돼지,LBI1000006,5278,6215
40657,202604,전북,6450000,농업회사 법인 한송 주식회사,닭,LBI1000088,297292,1583443
40656,202604,전북,6450000,주식회사 정다운 익산공장,오리,LBI1000016,185109,693128
40655,202604,전북,6450000,도드람김제에프엠씨,돼지,LBI1000006,71833,269844
40654,202604,전북,6450000,주식회사 싱그린에프에스,닭,LBI1000088,1067252,4913503
40653,202604,전북,6450000,(주)복수,소,LBI1000080,67,304
40652,202604,전북,6450000,(주)복수,돼지,LBI1000006,18041,75420
40650,202604,전북,6450000,(주)참프레,오리,LBI1000016,342426,839945
40691,202604,경북,6470000,주식회사 새람,돼지,LBI1000006,12432,44469
40649,202604,전북,6450000,(주)하림 정읍공장,닭,LBI1000088,4804261,18383049
40725,202604,제주,6500000,제주축협축산물공판장,염소,LBI1000623,64,209
40724,202604,제주,6500000,제주축협축산물공판장,면양,LBI1000086,5,15
40684,202604,전남,6460000,(주)금화,닭,LBI1000088,1811956,7297396
40685,202604,전남,6460000,(주)보성녹돈,돼지,LBI1000006,8611,32566
40686,202604,전남,6460000,농업회사법인(유)참푸른글로벌,돼지,LBI1000006,21150,88780
40687,202604,전남,6460000,농업회사법인(유)참푸른글로벌,소,LBI1000080,871,3529
40688,202604,전남,6460000,가온축산,염소,LBI1000623,1763,4398
40689,202604,경북,6470000,농협경제지주주식회사고령축산물공판장,돼지,LBI1000006,23910,93790
40661,202604,전남,6460000,농협나주축산물공판장,소,LBI1000080,3549,15484
40662,202604,전남,6460000,(주)미스터덕,오리,LBI1000016,499838,1331865
40663,202604,전남,6460000,농업회사법인주식회사만나,돼지,LBI1000006,4703,17362
40664,202604,전남,6460000,농업회사법인주식회사만나,소,LBI1000080,344,1472
40683,202604,전남,6460000,농업회사법인 주식회사 다솔,오리,LBI1000016,1486883,3361468
40682,202604,전남,6460000,농업회사법인녹색흑염소주식회사,염소,LBI1000623,2123,5163
40681,202604,전남,6460000,(주)정다운,오리,LBI1000016,368430,1330601
40680,202604,전남,6460000,농업회사법인 (주)사조원 나주공장(오리),오리,LBI1000016,638310,2172692
40679,202604,전남,6460000,농업회사법인 (주)사조원 나주공장(삼계),닭,LBI1000088,834456,2842859
40678,202604,전남,6460000,(주)중앙축산농업회사법인 1공장,돼지,LBI1000006,38731,145179
40677,202604,전남,6460000,(주) 유진,닭,LBI1000088,93718,188247
40676,202604,전남,6460000,함평축산물종합처리장(주)농업회사법인,소,LBI1000080,733,3002
40675,202604,전남,6460000,함평축산물종합처리장(주)농업회사법인,돼지,LBI1000006,20779,87155
40674,202604,전남,6460000,(주)오성식품,소,LBI1000080,643,2742
40673,202604,전남,6460000,(주)오성식품,돼지,LBI1000006,7426,26718
40672,202604,전남,6460000,새순천축산,소,LBI1000080,223,989
40671,202604,전남,6460000,새순천축산,돼지,LBI1000006,8314,32631
40670,202604,전남,6460000,(주)일영이부쳐스,오리,LBI1000016,356116,1095415
40669,202604,전남,6460000,(주)대호축산,소,LBI1000080,171,830
